,Refrigerator,Kitchen_outlet1,Kitchen_outlet2,Microwave,Lighting
206,157,,826,,
207,155,,1034,,
208,154,,1048,,
209,153,,1039,,
210,151,,1045,,
211,150,,1037,,
212,186,,1036,,
213,185,,1034,,
214,184,,1037,,
215,182,,1039,,
216,181,,1048,,
217,180,,1050,,
218,179,,1045,,
219,177,,1047,,
220,176,,1079,,
221,175,,1047,,
222,174,,1040,,
223,172,,1040,,
224,171,,1005,,
225,170,,1040,,
226,169,,1047,,
227,167,,1048,,
228,166,,1037,,
229,165,,1039,,
230,164,,1044,,
231,162,,1043,,
232,161,,1042,,
233,160,,1043,,
234,159,,1030,,
235,157,,1028,,
236,156,,1025,,
237,185,,1026,,
238,184,,1027,,
239,183,,1034,,
240,181,,1033,,
241,180,,1038,,
242,179,,1038,,
243,178,,1036,,
244,176,,1037,,
245,175,,1041,,
246,174,,1042,,
247,173,,1038,,
248,171,,1039,,
249,170,,1038,,
250,169,,1038,,
251,168,,1037,,
252,166,,1025,,
253,165,,1012,,
254,164,,1000,,
255,163,,987,,
256,161,,975,,
257,160,,962,,
258,159,,950,,
259,158,,937,,
260,156,,925,,
261,155,,912,,
262,180,,900,,
263,179,,887,,
264,178,,875,,
265,177,,862,,
266,176,,850,,
267,175,,837,,
268,174,,825,,
269,172,,812,,
270,171,,800,,
271,170,,787,,
272,169,,775,,
273,168,,762,,
274,167,,750,,
275,166,,1145,,
276,165,,963,,
277,164,,,,
278,163,,,,
279,162,,,,
280,161,,,,
281,159,,,,
282,158,,,,
283,157,,,,
284,156,,,,
285,155,,,,
286,154,,,,
287,185,,,,
288,184,,,,
289,182,,,,
290,181,,,,
291,180,,,,
292,179,,,,
293,177,,,,
294,176,,,,
295,175,,,,
296,173,,,,
297,172,,,,
298,171,,,,
299,170,,,,
300,168,,,,
301,167,,,,
302,166,,,,
303,164,,,,
304,163,,,,
305,162,,,,
306,160,,,,
307,159,,,,
308,158,,,,
309,157,,,,
310,155,,,,
311,154,,,,
312,184,,,,
313,183,,,,
314,181,,,,
315,180,,,,
316,179,,,,
317,178,,,,
318,176,,,,
319,175,,,,
320,174,,,,
321,172,,,,
322,171,,,,
323,170,,,,
324,169,,,,
325,167,,,,
326,166,,,,
327,165,,,,
328,163,,,,
329,162,,,,
330,161,,,,
331,159,,,,
332,158,,,,
333,157,,,,
334,156,,,,
335,154,,,,
336,153,,,,
337,185,,,,
338,184,,,,
339,182,,,,
340,181,,,,
341,180,,,,
342,178,,,,
343,177,,,,
344,176,,,,
345,174,,,,
346,173,,,,
347,172,,,,
348,170,,,,
349,169,,,,
350,168,,,,
351,166,,,,
352,165,,,,
353,164,,,,
354,162,,,,
355,161,,,,
356,160,,,,
357,158,,,,
358,157,,,,
359,156,,,,
360,154,,,,
361,153,,,,
362,185,,,,
363,185,,,,
364,184,,,,
365,184,,,,
366,184,,,,
367,184,,,,
368,183,,,,
369,183,,,,
370,183,,,,
371,182,,,,
372,182,,,,
373,182,,,,
374,182,,,,
375,181,,,,
376,181,,,,
377,181,,,,
378,181,,,,
379,180,,,,
380,180,,,,
381,180,,,,
382,179,,,,
383,179,,,,
384,179,,,,
385,179,,,,
386,178,,,,
387,178,,,,
388,178,,,,
389,177,,,,
390,177,,,,
391,177,,,,
392,177,,,,
393,176,,,,
394,176,,,,
395,176,,,,
396,175,,,,
397,175,,,,
398,175,,,,
399,175,,,,
400,174,,,,
401,174,,,,
402,174,,,,
403,173,,,,
404,173,,,,
405,173,,,,
406,173,,,,
407,172,,,,
408,172,,,,
409,172,,,,
410,172,,,,
411,171,,,,
412,171,,,,
413,171,,,,
414,170,,,,
415,170,,,,
416,170,,,,
417,170,,,,
418,169,,,,
419,169,,,,
420,169,,,,
421,168,,,,
422,168,,,,
423,168,,,,
424,168,,,,
425,167,,,,
426,167,,,,
427,167,,,,
428,166,,,,
429,166,,,,
430,166,,,,
431,166,,,,
432,165,,,,
433,165,,,,
434,165,,,,
435,165,,,,
436,164,,,,
437,164,,,,
438,164,,,,
439,163,,,,
440,163,,,,
441,163,,,,
442,163,,,,
443,162,,,,
444,162,,,,
445,162,,,,
446,161,,,,
447,161,,,,
448,161,,,,
449,161,,,,
450,160,,,,
451,160,,,,
452,160,,,,
453,159,,,,
454,159,,,,
455,159,,,,
456,159,,,,
457,158,,,,
458,158,,,,
459,158,,,,
460,157,,,,
461,157,,,,
462,157,,,,
463,157,,,,
464,156,,,,
465,156,,,,
466,156,,,,
467,156,,,,
468,155,,,,
469,155,,,,
470,155,,,,
471,154,,,,
472,154,,,,
473,154,,,,
474,154,,,,
475,153,,,,
476,153,,,,
477,168,,,,
478,167,,,,
479,167,,,,
480,166,,,,
481,166,,,,
482,165,,,,
483,165,,,,
484,164,,,,
485,164,,,,
486,163,,,,
487,163,,,,
488,162,,,,
489,162,,,,
490,161,,,,
491,160,,,,
492,160,,,,
493,159,,,,
494,159,,,,
495,158,,,,
496,158,,,,
497,157,,,,
498,157,,,,
499,156,,,,
500,156,,,,
501,155,,,,
502,155,,,,
503,154,,,,
504,182,,,,
505,181,,,,
506,180,,,,
507,179,,,,
508,177,,,,
509,176,,,,
510,175,,,,
511,174,,,,
512,173,,,,
513,172,,,,
514,171,,,,
515,169,,,,
516,168,,,,
517,167,,,,
518,166,,,,
519,165,,,,
520,164,,,,
521,162,,,,
522,161,,,,
523,160,,,,
524,159,,,,
525,158,,,,
526,157,,,,
527,156,,,,
528,154,,,,
529,153,,,,
530,152,,,,
531,151,,,,
532,143,,,,
533,143,,,,
534,143,,,,
535,144,,,,
536,144,,,,
537,144,,,,
538,144,,,,
539,145,,,,
540,145,,,,
541,145,,,,
542,145,,,,
543,146,,,,
544,146,,,,
545,146,,,,
546,146,,,,
547,147,,,,
548,147,,,,
549,147,,,,
550,147,,,,
551,148,,,,
552,148,,,,
553,148,,,,
554,148,,,,
555,149,,,,
556,149,,,,
557,149,,,,
558,149,,,,
559,150,,,,
560,150,,,,
561,150,,,,
562,150,,,,
563,151,,,,
564,151,,,,
565,151,,,,
566,181,,,,
567,180,,,,
568,179,,,,
569,178,,,,
570,177,,,,
571,176,,,,
572,175,,,,
573,173,,,,
574,172,,,,
575,171,,,,
576,170,,,,
577,169,,,,
578,168,,,,
579,167,,,,
580,166,,,,
581,165,,,,
582,164,,,,
583,163,,,,
584,162,,,,
585,161,,,,
586,160,,,,
587,158,,,,
588,157,,,,
589,156,,,,
590,155,,,,
591,154,,,,
592,153,,,,
593,152,,,,
594,180,,,,
595,179,,,,
596,178,,,,
597,177,,,,
598,176,,,,
599,175,,,,
600,174,,,,
601,173,,,,
602,172,,,,
603,171,,,,
604,170,,,,
605,169,,,,
606,168,,,,
607,167,,,,
608,165,,,,
609,164,,,,
610,163,,,,
611,162,,,,
612,161,,,,
613,160,,,,
614,159,,,,
615,158,,,,
616,157,,,,
617,156,,,,
618,155,,,,
619,154,,,,
620,153,,,,
621,152,,,,
622,194,,,,
623,192,,,,
624,191,,,,
625,189,,,,
626,188,,,,
627,186,,,,
628,185,,,,
629,183,,,,
630,182,,,,
631,180,,,,
632,178,,,,
633,177,,,,
634,175,,,,
635,174,,,,
636,172,,,,
637,171,,,,
638,169,,,,
639,168,,,,
640,166,,,,
641,164,,,,
642,163,,,,
643,161,,,,
644,160,,,,
645,158,,,,
646,157,,,,
647,155,,,,
648,154,,,,
649,152,,,,
650,133,,,,
651,134,,,,
652,136,,,,
653,137,,,,
654,139,,,,
655,140,,,,
656,141,,,,
657,143,,,,
658,144,,,,
659,146,,,,
660,147,,,,
661,183,,,,
662,182,,,,
663,181,,,,
664,180,,,,
665,179,,,,
666,178,,,,
667,177,,,,
668,176,,,,
669,175,,,,
670,174,,,,
671,173,,,,
672,172,,,,
673,171,,,,
674,170,,,,
675,169,,,,
676,168,,,,
677,168,,,,
678,167,,,,
679,166,,,,
680,165,,,,
681,164,,,,
682,163,,,,
683,162,,,,
684,161,,,,
685,160,,,,
686,159,,,,
687,158,,,,
688,157,,,,
689,156,,,,
690,155,,,,
691,154,,,,
692,153,,,,
693,152,,,,
694,182,,,,
695,181,,,,
696,180,,,,
697,179,,,,
698,178,,,,
699,177,,,,
700,177,,,,
701,176,,,,
702,175,,,,
703,174,,,,
704,173,,,,
705,172,,,,
706,171,,,,
707,170,,,,
708,169,,,,
709,168,,,,
710,167,,,,
711,167,,,,
712,166,,,,
713,165,,,,
714,164,,,,
715,163,,,,
716,162,,,,
717,161,,,,
718,160,,,,
719,159,,,,
720,158,,,,
721,157,,,,
722,157,,,,
723,156,,,,
724,155,,,,
725,154,,,,
726,153,,,,
727,152,,,,
728,180,,,,
729,179,,,,
730,178,,,,
731,177,,,,
732,176,,,,
733,175,,,,
734,174,,,,
735,173,,,,
736,172,,,,
737,171,,,,
738,170,,,,
739,169,,,,
740,168,,,,
741,167,,,,
742,166,,,,
743,165,,,,
744,164,,,,
745,163,,,,
746,162,,,,
747,161,,,,
748,160,,,,
749,159,,,,
750,158,,,,
751,157,,,,
752,156,,,,
753,155,,,,
754,154,,,,
755,182,,,,
756,181,,,,
757,180,,,,
758,179,,,,
759,178,,,,
760,177,,,,
761,176,,,,
762,174,,,,
763,173,,,,
764,172,,,,
765,171,,,,
766,170,,,,
767,169,,,,
768,168,,,,
769,167,,,,
770,166,,,,
771,165,,,,
772,164,,,,
773,163,,,,
774,162,,,,
775,160,,,,
776,159,,,,
777,158,,,,
778,157,,,,
779,156,,,,
780,155,,,,
781,154,,,,
782,180,,,,
783,179,,,,
784,178,,,,
785,177,,,,
786,176,,,,
787,175,,,,
788,174,,,,
789,172,,,,
790,171,,,,
791,170,,,,
792,169,,,,
793,168,,,,
794,167,,,,
795,166,,,,
796,165,,,,
797,164,,,,
798,163,,,,
799,162,,,,
800,161,,,,
801,159,,,,
802,158,,,,
803,157,,,,
804,156,,,,
805,155,,,,
806,154,,,,
807,153,,,,
808,183,,,,
809,182,,,,
810,180,,,,
811,179,,,,
812,178,,,,
813,177,,,,
814,175,,,,
815,174,,,,
816,173,,,,
817,171,,,,
818,170,,,,
819,169,,,,
820,168,,,,
821,166,,,,
822,165,,,,
823,164,,,,
824,163,,,,
825,161,,,,
826,160,,,,
827,159,,,,
828,157,,,,
829,156,,,,
830,155,,,,
831,154,,,,
832,152,,,,
833,151,,,,
834,303,,,,
835,302,,,,
836,300,,,,
837,299,,,,
838,298,,,,
839,296,,,,
840,295,,,,
841,294,,,,
842,293,,,,
843,291,,,,
844,290,,,,
845,289,,,,
846,287,,,,
847,286,,,,
848,285,,,,
849,283,,,,
850,282,,,,
851,281,,,,
852,279,,,,
853,278,,,,
854,277,,,,
855,275,,,,
856,274,,,,
857,273,,,,
858,272,,,,
859,270,,,,
860,269,,,,
861,268,,,,
862,266,,,,
863,265,,,,
864,264,,,,
865,262,,,,
866,261,,,,
867,260,,,,
868,258,,,,
869,257,,,,
870,256,,,,
871,255,,,,
872,253,,,,
873,252,,,,
874,251,,,,
875,249,,,,
876,248,,,,
877,247,,,,
878,245,,,,
879,244,,,,
880,243,,,,
881,241,,,,
882,240,,,,
883,239,,,,
884,238,,,,
885,236,,,,
886,235,,,,
887,234,,,,
888,232,,,,
889,231,,,,
890,230,,,,
891,228,,,,
892,227,,,,
893,226,,,,
894,224,,,,
895,223,,,,
896,222,,,,
897,220,,,,
898,219,,,,
899,218,,,,
900,217,,,,
901,215,,,,
902,214,,,,
903,213,,,,
904,211,,,,
905,210,,,,
906,209,,,,
907,207,,,,
908,206,,,,
909,205,,,,
910,203,,,,
911,202,,,,
912,201,,,,
913,200,,,,
914,198,,,,
915,197,,,,
916,196,,,,
917,194,,,,
918,193,,,,
919,192,,,,
920,190,,,,
921,189,,,,
922,188,,,,
923,186,,,,
924,185,,,,
925,184,,,,
926,183,,,,
927,181,,,,
928,180,,,,
929,179,,,,
930,177,,,,
931,176,,,,
932,175,,,,
933,173,,,,
934,172,,,,
935,171,,,,
936,169,,,,
937,168,,,,
938,167,,,,
939,165,,,,
940,164,,,,
941,163,,,,
942,162,,,,
943,160,,,,
944,159,,,,
945,158,,,,
946,156,,,,
947,155,,,,
948,186,,,,
949,185,,,,
950,184,,,,
951,183,,,,
952,181,,,,
953,180,,,,
954,179,,,,
955,178,,,,
956,177,,,,
957,176,,,,
958,175,,,,
959,173,,,,
960,172,,,,
961,171,,,,
962,170,,,,
963,169,,,,
964,168,,,,
965,167,,,,
966,165,,,,
967,164,,,,
968,163,,,,
969,162,,,,
970,161,,,,
971,160,,,,
972,159,,,,
973,157,,,,
974,156,,,,
975,155,,,,
976,154,,,,
977,188,,,,
978,187,,,,
979,185,,,,
980,184,,,,
981,182,,,,
982,181,,,,
983,179,,,,
984,178,,,,
985,176,,,,
986,175,,,,
987,173,,,,
988,172,,,,
989,171,,,,
990,169,,,,
991,168,,,,
992,166,,,,
993,165,,,,
994,163,,,,
995,162,,,,
996,160,,,,
997,159,,,,
998,157,,,,
999,156,,,,
1000,154,,,,
1001,153,,,,
1002,186,,,,
1003,185,,,,
1004,183,,,,
1005,182,,,,
1006,181,,,,
1007,180,,,,
1008,178,,,,
1009,177,,,,
1010,176,,,,
1011,175,,,,
1012,173,,,,
1013,172,,,,
1014,171,,,,
1015,170,,,,
1016,168,,,,
1017,167,,,,
1018,166,,,,
1019,164,,,,
1020,163,,,,
1021,162,,,,
1022,161,,,,
1023,159,,,,
1024,158,,,,
1025,157,,,,
1026,156,,,,
1027,154,,,,
1028,153,,,,
1029,185,,,,
1030,184,,,,
1031,182,,,,
1032,181,,,,
1033,180,,,,
1034,178,,,,
1035,177,,,,
1036,175,,,,
1037,174,,,,
1038,173,,,,
1039,171,,,,
1040,170,,,,
1041,169,,,,
1042,167,,,,
1043,166,,,,
1044,164,,,,
1045,163,,,,
1046,162,,,,
1047,160,,,,
1048,159,,,,
1049,158,,,,
1050,156,,,,
1051,155,,,,
1052,153,,,,
1053,152,,,,
1054,184,,,,
1055,183,,,,
1056,182,,,,
1057,181,,,,
1058,179,,,,
1059,178,,,,
1060,177,,,,
1061,176,,,,
1062,175,,,,
1063,174,,,,
1064,172,,,,
1065,171,,,,
1066,170,,,,
1067,169,,,,
1068,168,,,,
1069,167,,,,
1070,165,,,,
1071,164,,,,
1072,163,,,,
1073,162,,,,
1074,161,,,,
1075,160,,,,
1076,158,,,,
1077,157,,,,
1078,156,,,,
1079,186,,,,
1080,185,,,,
1081,183,,,,
1082,182,,,,
1083,181,,,,
1084,180,,,,
1085,178,,,,
1086,177,,,,
1087,176,,,,
1088,174,,,,
1089,173,,,,
1090,172,,,,
1091,171,,,,
1092,169,,,,
1093,168,,,,
1094,167,,,,
1095,165,,,,
1096,164,,,,
1097,163,,,,
1098,161,,,,
1099,160,,,,
1100,159,,,,
1101,158,,,,
1102,156,,,,
1103,155,,,,
1104,187,,,,
1105,186,,,,
1106,185,,,,
1107,184,,,,
1108,183,,,,
1109,181,,,,
1110,180,,,,
1111,179,,,,
1112,178,,,,
1113,177,,,,
1114,176,,,,
1115,175,,,,
1116,174,,,,
1117,173,,,,
1118,172,,,,
1119,170,,,,
1120,169,,,,
1121,168,,,,
1122,167,,,,
1123,166,,,,
1124,165,,,,
1125,164,,,,
1126,163,,,,
1127,162,,,,
1128,160,,,,
1129,159,,,,
1130,158,,,,
1131,157,,,,
1132,156,,,,
1133,182,,,,
1134,179,,,,
1135,176,,,,
1136,174,,,,
1137,171,,,,
1138,168,,,,
1139,165,,,,
1140,162,,,,
1141,159,,,,
1142,157,,,,
1143,154,,,,
1144,151,,,,
1145,184,,,,
1146,183,,,,
1147,182,,,,
1148,181,,,,
1149,179,,,,
1150,178,,,,
1151,177,,,,
1152,176,,,,
1153,175,,,,
1154,174,,,,
1155,173,,,,
1156,171,,,,
1157,170,,,,
1158,169,,,,
1159,168,,,,
1160,167,,,,
1161,166,,,,
1162,164,,,,
1163,163,,,,
1164,162,,,,
1165,161,,,,
1166,160,,,,
1167,159,,,,
1168,158,,,,
1169,156,,,,
1170,155,,,,
1171,154,,,,
1172,153,,,,
1173,183,,,,
1174,182,,,,
1175,180,,,,
1176,179,,,,
1177,178,,,,
1178,177,,,,
1179,175,,,,
1180,174,,,,
1181,173,,,,
1182,172,,,,
1183,170,,,,
1184,169,,,,
1185,168,,,,
1186,167,,,,
1187,165,,,,
1188,164,,,,
1189,163,,,,
1190,162,,,,
1191,160,,,,
1192,159,,,,
1193,158,,,,
1194,157,,,,
1195,155,,,,
1196,154,,,,
1197,153,,,,
1198,152,,,,
1199,150,,,,
1200,149,,,,
1201,342,,,,
1202,170,,,,
1203,184,,,,
1204,180,,,,
1205,177,,,,
1206,173,,,,
1207,170,,,,
1208,166,,,,
1209,163,,,,
1210,159,,,,
1211,156,,,,
1212,152,,,,
1213,181,,,,
1214,180,,,,
1215,179,,,,
1216,178,,,,
1217,177,,,,
1218,176,,,,
1219,175,,,,
1220,174,,,,
1221,173,,,,
1222,172,,,,
1223,171,,,,
1224,170,,,,
1225,169,,,,
1226,167,,,,
1227,166,,,,
1228,165,,,,
1229,164,,,,
1230,163,,,,
1231,162,,,,
1232,161,,,,
1233,160,,,,
1234,159,,,,
1235,158,,,,
1236,157,,,,
1237,156,,,,
1238,155,,,,
1239,118,,,,
1240,119,,,,
1241,120,,,,
1242,121,,,,
1243,121,,,,
1244,122,,,,
1245,123,,,,
1246,124,,,,
1247,125,,,,
1248,126,,,,
1249,126,,,,
1250,127,,,,
1251,128,,,,
1252,129,,,,
1253,130,,,,
1254,131,,,,
1255,131,,,,
1256,132,,,,
1257,133,,,,
1258,134,,,,
1259,135,,,,
1260,136,,,,
1261,136,,,,
1262,137,,,,
1263,138,,,,
1264,139,,,,
1265,140,,,,
1266,141,,,,
1267,141,,,,
1268,142,,,,
1269,143,,,,
1270,144,,,,
1271,145,,,,
1272,146,,,,
1273,146,,,,
1274,147,,,,
1275,148,,,,
1276,149,,,,
1277,150,,,,
1278,151,,,,
1279,151,,,,
1280,152,,,,
1281,153,,,,
1282,124,,,,
1283,128,,,,
1284,132,,,,
1285,135,,,,
1286,139,,,,
1287,143,,,,
1288,147,,,,
1289,150,,,,
1290,154,,,,
1291,119,,,,
1292,125,,,,
1293,130,,,,
1294,136,,,,
1295,142,,,,
1296,147,,,,
1297,153,,,,
1298,244,,,,
1299,240,,,,
1300,237,,,,
1301,233,,,,
1302,230,,,,
1303,226,,,,
1304,222,,,,
1305,219,,,,
1306,215,,,,
1307,212,,,,
1308,208,,,,
1309,204,,,,
1310,201,,,,
1311,197,,,,
1312,194,,,,
1313,190,,,,
1314,186,,,,
1315,183,,,,
1316,179,,,,
1317,176,,,,
1318,172,,,,
1319,168,,,,
1320,165,,,,
1321,161,,,,
1322,158,,,,
1323,154,,,,
1324,185,,,,
1325,184,,,,
1326,183,,,,
1327,181,,,,
1328,180,,,,
1329,179,,,,
1330,178,,,,
1331,176,,,,
1332,175,,,,
1333,174,,,,
1334,173,,,,
1335,171,,,,
1336,170,,,,
1337,169,,,,
1338,168,,,,
1339,166,,,,
1340,165,,,,
1341,164,,,,
1342,163,,,,
1343,161,,,,
1344,160,,,,
1345,159,,,,
1346,158,,,,
1347,156,,,,
1348,155,,,,
1349,154,,,,
1350,183,,,,
1351,182,,,,
1352,181,,,,
1353,179,,,,
1354,178,,,,
1355,177,,,,
1356,176,,,,
1357,175,,,,
1358,173,,,,
1359,172,,,,
1360,171,,,,
1361,170,,,,
1362,169,,,,
1363,167,,,,
1364,166,,,,
1365,165,,,,
1366,164,,,,
1367,162,,,,
1368,161,,,,
1369,160,,,,
1370,159,,,,
1371,158,,,,
1372,156,,,,
1373,155,,,,
1374,154,,,,
1375,112,,,,
1376,115,,,,
1377,118,,,,
1378,122,,,,
1379,125,,,,
1380,128,,,,
1381,131,,,,
1382,134,,,,
1383,137,,,,
1384,141,,,,
1385,144,,,,
1386,147,,,,
1387,194,,,,
1388,192,,,,
1389,191,,,,
1390,189,,,,
1391,187,,,,
1392,186,,,,
1393,184,,,,
1394,182,,,,
1395,181,,,,
1396,179,,,,
1397,177,,,,
1398,176,,,,
1399,174,,,,
1400,172,,,,
1401,170,,,,
1402,169,,,,
1403,167,,,,
1404,165,,,,
1405,164,,,,
1406,162,,,,
1407,160,,,,
1408,159,,,,
1409,157,,,,
1410,155,,,,
1411,154,,,,
1412,152,,,,
1413,183,,,,
1414,182,,,,
1415,181,,,,
1416,179,,,,
1417,178,,,,
1418,177,,,,
1419,176,,,,
1420,174,,,,
1421,173,,,,
1422,172,,,,
1423,171,,,,
1424,169,,,,
1425,168,,,,
1426,167,,,,
1427,166,,,,
1428,164,,,,
1429,163,,,,
1430,162,,,,
1431,161,,,,
1432,159,,,,
1433,158,,,,
1434,157,,,,
1435,156,,,,
1436,154,,,,
1437,153,,,,
1438,183,,,,
1439,182,,,,
1440,180,,,,
1441,179,,,,
1442,177,,,,
1443,176,,,,
1444,175,,,,
1445,173,,,,
1446,172,,,,
1447,170,,,,
1448,169,,,,
1449,168,,,,
1450,166,,,,
1451,165,,,,
1452,164,,,,
1453,162,,,,
1454,161,,,,
1455,159,,,,
1456,158,,,,
1457,157,,,,
1458,155,,,,
1459,154,,,,
1460,152,,,,
1461,151,,,,
1462,181,,,,
1463,180,,,,
1464,179,,,,
1465,177,,,,
1466,176,,,,
1467,175,,,,
1468,174,,,,
1469,172,,,,
1470,171,,,,
1471,170,,,,
1472,169,,,,
1473,168,,,,
1474,166,,,,
1475,165,,,,
1476,164,,,,
1477,163,,,,
1478,162,,,,
1479,160,,,,
1480,159,,,,
1481,158,,,,
1482,157,,,,
1483,155,,,,
1484,154,,,,
1485,153,,,,
1486,182,,,,
1487,181,,,,
1488,179,,,,
1489,178,,,,
1490,177,,,,
1491,176,,,,
1492,174,,,,
1493,173,,,,
1494,172,,,,
1495,171,,,,
1496,169,,,,
1497,168,,,,
1498,167,,,,
1499,166,,,,
1500,164,,,,
1501,163,,,,
1502,162,,,,
1503,161,,,,
1504,159,,,,
1505,158,,,,
1506,157,,,,
1507,156,,,,
1508,154,,,,
1509,153,,,,
1510,182,,,,
1511,181,,,,
1512,179,,,,
1513,178,,,,
1514,177,,,,
1515,175,,,,
1516,174,,,,
1517,173,,,,
1518,171,,,,
1519,170,,,,
1520,169,,,,
1521,168,,,,
1522,166,,,,
1523,165,,,,
1524,164,,,,
1525,162,,,,
1526,161,,,,
1527,160,,,,
1528,158,,,,
1529,157,,,,
1530,156,,,,
1531,154,,,,
1532,153,,,,
1533,183,,,,
1534,183,,,,
1535,183,,,,
1536,182,,,,
1537,182,,,,
1538,182,,,,
1539,182,,,,
1540,181,,,,
1541,181,,,,
1542,181,,,,
1543,181,,,,
1544,181,,,,
1545,180,,,,
1546,180,,,,
1547,180,,,,
1548,180,,,,
1549,179,,,,
1550,179,,,,
1551,179,,,,
1552,179,,,,
1553,179,,,,
1554,178,,,,
1555,178,,,,
1556,178,,,,
1557,178,,,,
1558,177,,,,
1559,177,,,,
1560,177,,,,
1561,177,,,,
1562,177,,,,
1563,176,,,,
1564,176,,,,
1565,176,,,,
1566,176,,,,
1567,175,,,,
1568,175,,,,
